                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4552,                 8.7171,                 2.3148,                0.80009,                0.68293,                0.82956,                0.55274,                 2.3129,                 8.2567,                 2.3815,             0.00066061,             0.00066061,             0.00066061
                      2,                 2.5707,                  4.908,                 2.2725,                0.77132,                0.76962,                0.86004,                0.52022,                 2.5791,                 3.1477,                 2.3543,              0.0013141,              0.0013141,              0.0013141
                      3,                 2.6483,                 2.9541,                  2.307,                0.89699,                0.87698,                0.96124,                0.63065,                 2.3733,                 1.3828,                 2.2364,              0.0019545,              0.0019545,              0.0019545
                      4,                 2.5864,                 2.0618,                 2.2614,                0.78073,                0.85913,                0.89263,                0.56073,                 2.3634,                  1.548,                 2.2517,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6046,                 1.6638,                 2.2698,                0.84946,                 0.9181,                0.94735,                0.62944,                 2.3489,                 1.3546,                 2.1841,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.5498,                 1.4905,                 2.2153,                0.94538,                0.89484,                0.96046,                0.62555,                 2.3984,                 1.1544,                 2.2163,               0.001901,               0.001901,               0.001901
                      7,                 2.4859,                 1.4037,                 2.2182,                0.90534,                0.92262,                0.97498,                0.67328,                 2.1886,                 1.0809,                 2.1051,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.4833,                 1.3146,                 2.2142,                0.94904,                0.96081,                0.98826,                 0.6927,                 2.2165,                0.89901,                 2.1546,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.4816,                 1.2406,                 2.1802,                0.91409,                0.92659,                0.97242,                0.66895,                 2.1863,                 1.0028,                 2.0883,              0.0018416,              0.0018416,              0.0018416
                     10,                  2.483,                 1.2052,                 2.1947,                 0.9525,                0.95238,                0.98847,                0.68995,                 2.2201,                 0.9672,                 2.1455,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.4382,                 1.1501,                 2.1742,                0.91827,                 0.9586,                0.98345,                0.69941,                 2.1474,                 0.9122,                 2.1103,               0.001802,               0.001802,               0.001802
                     12,                 2.3967,                 1.1146,                 2.1587,                0.93717,                0.94444,                0.98386,                0.68129,                 2.1571,                0.93458,                 2.1026,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.3415,                 1.0858,                 2.1609,                0.96092,                0.92063,                 0.9858,                 0.6777,                 2.2745,                0.91547,                 2.1011,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.3751,                 1.0525,                 2.1302,                0.94151,                0.96627,                0.98775,                0.71205,                 2.1267,                0.84563,                 2.0591,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.3675,                 1.0442,                 2.1463,                0.95595,                0.94736,                0.98841,                0.68795,                 2.2274,                 0.8665,                  2.101,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.4181,                 1.0449,                 2.1702,                0.96989,                0.95884,                0.99089,                0.70808,                 2.1728,                0.82145,                 2.1128,               0.001703,               0.001703,               0.001703
                     17,                 2.3532,                 1.0142,                 2.1356,                0.95765,                0.95833,                0.99055,                0.69092,                 2.1379,                0.84598,                 2.0878,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.3105,                 1.0227,                 2.1458,                0.97435,                0.97965,                0.99294,                0.67355,                 2.3035,                0.85064,                 2.1639,              0.0016634,              0.0016634,              0.0016634
                     19,                  2.337,                 1.0339,                 2.1314,                0.98546,                0.94101,                0.99162,                0.71268,                 2.0865,                0.80424,                 2.0705,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.3527,                0.97538,                 2.1532,                0.96636,                0.96896,                0.98969,                0.71478,                 2.0953,                0.79372,                 2.0837,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.2685,                0.97419,                 2.1198,                0.97358,                0.97024,                0.99322,                 0.7028,                 2.1304,                0.78167,                 2.0709,               0.001604,               0.001604,               0.001604
                     22,                 2.2574,                0.96181,                  2.094,                0.98261,                 0.9623,                0.99345,                0.69906,                 2.1532,                0.77183,                 2.0922,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.2887,                0.95007,                 2.1294,                0.96287,                 0.9776,                0.99241,                0.72487,                 2.0534,                0.75563,                 2.0348,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.2647,                0.96139,                 2.1065,                0.96427,                0.96393,                0.98943,                0.70131,                 2.0638,                0.79399,                 2.0575,              0.0015446,              0.0015446,              0.0015446
